Gene_ID,read_PhyB,RPKM_PhyB,read_WT,RPKM_WT
AT4G17695.1|PACid:19645188,512,15.91438519,600,18.47145975
AT3G52105.1|PACid:19663729,249,35.20978922,197,27.5905506
AT5G38990.1|PACid:19666934,231,2.632440103,216,2.43798109
AT1G49640.1|PACid:19655347,0.5,0.015885663,2,0.062935459
AT4G12520.1|PACid:19645862,2604,201.1036969,4302,198.0473998
ATCG00720.1|PACid:19638013,7674,356.6896195,3687,282.0215371
AT4G13620.1|PACid:19648786,339,8.749284198,492,12.57673735
AT1G18030.1|PACid:19649910,507,14.46064693,422,11.92126323
AT1G77280.1|PACid:19649945,528,6.667902191,765,9.568564671
AT3G18715.1|PACid:19658558,9,0.961251615,27,2.856198591
AT4G32050.1|PACid:19644293,415,6.731004401,304,4.883547593
AT5G08695.1|PACid:19667603,0.5,0.007264645,0.5,0.007195226
AT5G45105.2|PACid:19671224,0.5,0.016732898,0.5,0.016573004
AT3G63400.1|PACid:19658495,1463,25.72353467,4257,180.9007147
AT1G74050.1|PACid:19657801,5744,246.4455614,1410,24.55474873
AT1G76150.1|PACid:19649621,1131,36.62885457,1095,35.12407658
AT4G03200.1|PACid:19644794,1492,18.28973227,1541,18.70988969
AT3G61070.1|PACid:19664465,1178,50.97764075,1281,54.90521984
AT1G76130.1|PACid:19656001,520,12.61030031,346,7.447090185
AT2G25150.1|PACid:19639430,139,3.020614143,366,8.790897863
AT5G53045.1|PACid:19671573,193,19.97597572,160,16.40214845
AT1G29395.1|PACid:19652713,186,8.262794122,443,19.49161287
AT5G57360.2|PACid:19671402,2233,35.75556204,2289,36.30201583
AT3G15370.1|PACid:19659439,5,0.198413816,6,0.235821403
AT5G58490.1|PACid:19667406,1240,38.30546608,865,26.46581281
AT5G06180.1|PACid:19670261,119,2.94994803,212,20.27005894
AT3G49100.1|PACid:19660182,248,23.9409163,104,2.553470272
AT1G04530.1|PACid:19652342,2787,89.97026642,3870,123.7379925
AT1G32430.1|PACid:19655349,0.5,0.013175511,0.5,0.01304961
AT1G74110.1|PACid:19651965,0.5,0.009330613,11,0.455757615
AT2G36110.1|PACid:19639080,8,0.33465797,3,0.055448713
AT1G66160.1|PACid:19653413,446,10.36510101,402,9.25326066
AT1G15260.1|PACid:19657049,1036,58.10709331,1124,62.44041347
AT1G11730.1|PACid:19652308,19,0.495467644,23,0.594045344
AT2G14110.1|PACid:19639356,252,13.24614792,222,11.55771809
AT3G56160.1|PACid:19664693,632,14.51971421,398,9.056369326
AT5G24470.1|PACid:19667430,206,3.096087206,637,9.482338612
AT1G72310.1|PACid:19657639,507,15.66199299,642,19.64283448
AT3G28070.1|PACid:19660780,293,8.148597104,799,36.27898721
AT1G11890.1|PACid:19658212,687,31.49452401,310,8.538999377
AT1G67070.1|PACid:19651173,1079,24.50877485,1532,34.46584939
AT2G15535.1|PACid:19642875,0.5,0.061217921,0.5,0.060632942
AT1G30070.2|PACid:19649784,570,24.88109254,215,9.295293642
AT1G36580.1|PACid:19654010,1,0.054861962,1,0.054337719
AT3G12140.3|PACid:19662609,871,22.77242904,894,23.1504152
AT1G65020.1|PACid:19653100,667,20.92658118,640,19.887605
AT1G16445.1|PACid:19652650,193,7.046071437,57,2.061079064
AT1G11684.1|PACid:19652525,0.5,0.07605863,0.5,0.075331837
AT1G77855.1|PACid:19650790,73,2.304719981,152,4.753012516
AT3G18220.1|PACid:19662405,2,0.06498213,0.5,0.016090295
AT4G40000.1|PACid:19643893,98,1.254967387,55,0.697588186
AT1G70940.1|PACid:19652960,3559,55.74326277,4154,64.44080435
AT5G09890.2|PACid:19673001,1837,35.67311551,2178,41.89091266
AT5G58780.1|PACid:19666434,45,1.491050361,894,12.07847749
AT5G38840.1|PACid:19666814,911,12.42690532,46,1.509620182
AT4G09775.1|PACid:19647790,0.5,0.035351194,0.5,0.035013389
AT2G23348.1|PACid:19641883,46,5.075032949,19,2.076178544
AT4G02410.1|PACid:19645808,366,5.443769642,486,7.159537801
AT5G17670.1|PACid:19666397,1117,36.175447,874,28.0351077
AT3G09920.1|PACid:19658663,1312,16.1423256,1898,23.12908964
AT4G16215.1|PACid:19648809,1,0.080965638,501,13.35615296
AT4G33410.1|PACid:19648700,450,12.11228577,0.5,0.040095978
AT3G20250.1|PACid:19661850,2978,31.07935865,4166,43.06224659
AT4G33830.1|PACid:19646554,0.5,0.008699947,0.5,0.008616813
AT1G73050.1|PACid:19653013,0.5,0.009077522,1,0.01798156
AT1G76080.1|PACid:19656737,6927,229.5223522,6839,224.4411396
AT1G73020.1|PACid:19658136,399,6.014798647,457,6.823299914
AT1G72410.2|PACid:19653401,1283,10.13452813,1402,10.96869481
AT4G05470.1|PACid:19645919,4,0.131668709,0.5,0.016301316
AT3G11900.1|PACid:19660364,1698,39.37061659,2552,58.60642952
AT3G57070.1|PACid:19665177,958,23.00973697,194,24.11372106
AT2G45860.1|PACid:19642292,333,41.79041398,378,15.72701818
AT1G71260.1|PACid:19654591,681,28.60695533,1241,29.52215049
AT3G63280.1|PACid:19662273,301,5.435182495,335,5.991319852
AT4G00940.1|PACid:19647148,128,4.356225777,111,3.741566365
AT1G50870.1|PACid:19658270,0.5,0.012644508,0.5,0.012523681
AT1G73550.1|PACid:19652753,22,1.443622615,0.5,0.032496087
AT2G48110.1|PACid:19640044,812,6.388924878,710,5.532993554
AT3G16570.1|PACid:19659148,2359,170.3866513,2882,206.1729411
AT4G39753.1|PACid:19647661,0.5,0.012838541,0.5,0.01271586
AT1G68750.1|PACid:19650785,0.5,0.004859506,3,0.02887842
AT2G36390.1|PACid:19639714,1087,12.70453597,123,6.403600563
AT4G01580.1|PACid:19644131,233,12.24743041,1130,13.08090434
AT5G62810.1|PACid:19665758,2454,48.4990546,292,6.298460586
AT5G23300.1|PACid:19669302,413,8.994386651,2481,48.56412206
AT4G24430.1|PACid:19646968,132,2.048292984,95,1.460063737
AT1G03670.1|PACid:19649331,0.5,0.008135931,1,0.016116374
AT2G18220.1|PACid:19643380,484,6.351939506,454,5.901289327
AT2G18570.1|PACid:19641394,430,9.16579153,421,8.88819714
AT5G02170.1|PACid:19671578,111,2.114631953,305,5.754952111
AT5G15920.1|PACid:19672893,756,7.201179085,1283,30.74192436
AT1G10150.1|PACid:19654490,1108,26.80489378,894,8.434306865
AT3G22460.1|PACid:19660983,484,15.87984876,849,11.33193064
AT2G20000.1|PACid:19641109,773,10.41707157,534,17.35291025
AT1G52910.1|PACid:19653550,487,27.78041443,414,23.39053543
AT1G13780.1|PACid:19652959,243,5.338417068,304,5.639768583
AT2G15390.2|PACid:19642598,210,3.933479869,296,6.440624814
AT4G17240.1|PACid:19644929,135,3.940013889,154,4.451586003
AT5G57770.1|PACid:19668329,673,16.60133762,461,11.26312765
AT1G75960.1|PACid:19651256,57,1.050027759,62,1.131221569
AT4G37925.1|PACid:19648359,1015,46.74465679,1150,52.45583888
AT2G34110.1|PACid:19638732,0.5,0.040482819,1,0.080191956
AT1G30740.1|PACid:19651359,9,0.169209086,5,0.093106765
AT3G20720.2|PACid:19660709,583,4.87763991,770,6.380606605
AT5G47780.1|PACid:19667869,4893,79.61822267,5459,87.97928339
AT3G29375.1|PACid:19663434,470,13.25471173,279,7.79303623
AT5G08500.1|PACid:19667788,907,15.40785678,476,8.10488012
AT3G55850.2|PACid:19662705,423,7.27193431,70,4.433542516
AT4G21745.1|PACid:19646835,30,1.918421483,947,15.93363954
AT2G20170.1|PACid:19641892,0.5,0.012487238,0.5,0.012367914
AT5G56070.1|PACid:19671710,0.5,0.041832246,0.5,0.04143251
AT5G09520.1|PACid:19667128,29,2.222537662,532,40.38246512
AT5G56980.1|PACid:19672337,2640,69.74976634,3376,88.34283485
AT1G35435.1|PACid:19651352,0.5,0.060480356,0.5,0.059902425
ATMG01230.1|PACid:19643673,6,0.412592018,1,0.068108236
AT1G31340.1|PACid:19654834,1485,94.96186341,1293,81.89386391
ATMG00570.1|PACid:19643647,121,4.232781988,49,1.697722378
AT5G04130.1|PACid:19665371,724,9.916468082,492,6.674421324
AT2G04622.1|PACid:19639199,0.5,0.061217921,0.5,0.060632942
AT1G03840.1|PACid:19650757,97,1.920817933,81,1.588654837
AT5G08550.1|PACid:19667183,497,5.48927429,671,7.340254651
AT1G30820.1|PACid:19657109,689,11.50978409,1184,19.58978729
AT3G47341.1|PACid:19661214,0.5,0.102446317,0.5,0.101467372
AT3G42630.1|PACid:19664977,327,7.891814144,416,9.943802501
AT4G23950.2|PACid:19648489,76,1.355275615,82,1.448298055
AT3G22850.1|PACid:19662450,2109,85.03538052,1561,62.33845664
AT1G72645.1|PACid:19653680,235,27.43417078,312,36.07519047
AT4G28040.1|PACid:19645447,4325,120.61631,3116,86.06913498
AT1G12890.1|PACid:19655015,11,0.501986955,2,0.090398205
AT2G16890.2|PACid:19639723,166,3.479325031,144,2.989368601
AT4G29670.2|PACid:19643739,1179,49.94452486,1002,42.04088652
AT4G27780.1|PACid:19648822,737,20.84306398,524,20.43353926
AT2G18030.1|PACid:19640966,640,25.19777655,737,20.64389421
AT5G04670.1|PACid:19671576,592,7.749055468,918,46.33711013
AT5G02670.1|PACid:19670092,185,4.979495261,669,8.67327754
AT2G46230.1|PACid:19639240,1179,60.08554514,261,6.957995852
AT1G77340.1|PACid:19649099,1,0.024912504,1,0.024674448
AT5G20260.1|PACid:19665937,7,0.153111489,1,0.021664058
AT1G66430.1|PACid:19650001,807,21.04433623,679,17.53725168
AT5G54800.1|PACid:19671934,1528,39.43630164,1316,33.64021617
AT1G21864.1|PACid:19651877,0.5,0.053402868,0.5,0.052892566
AT2G26970.1|PACid:19641517,326,14.676928,416,18.54987372
AT1G11320.1|PACid:19654949,178,4.204878962,859,62.80681138
AT5G59080.1|PACid:19667271,834,61.56722356,180,4.211492824
AT3G05780.1|PACid:19665240,16,0.173660352,3,0.03225017
AT3G02420.1|PACid:19665038,1012,29.11236666,942,26.83971907
AT2G27490.1|PACid:19643587,594,25.59487134,560,23.89926781
AT4G02760.3|PACid:19647187,174,3.164700367,260,4.683675091
AT2G42030.1|PACid:19639675,930,21.91774028,967,22.57196483
AT5G01880.1|PACid:19671182,89,5.584604871,129,8.017190766
AT4G15690.1|PACid:19645676,131,12.76898856,165,15.92939236
AT1G76970.1|PACid:19649751,457,10.26434176,611,13.59208798
AT1G59530.1|PACid:19651245,1,0.067380799,1,0.06673693
AT1G03510.1|PACid:19649890,46,1.074018601,42,0.971255128
