Mutant,L/P
WT,1.541829148
WT,1.50538258
WT,1.679901555
WT,1.462620771
WT,1.381986433
WT,1.551337077
WT,1.465684385
WT,1.638663227
WT,1.683005048
WT,1.642551196
WT,1.516352959
WT,1.405063231
PHYA,1.420580913
PHYA,1.389939638
PHYA,1.447344791
PHYA,1.558971101
PHYA,1.540839947
PHYA,1.4017585
PHYA,1.531604441
PHYA,1.533936757
PHYA,1.548551509
PHYA,1.495615388
PHYA,1.551089836
PHYA,1.45869246
PHYB,0.788352497
PHYB,0.829253685
PHYB,0.747890309
PHYB,0.837361058
PHYB,0.78698794
PHYB,0.815026235
PHYB,0.851918431
PHYB,0.810340818
PHYB,0.789652413
PHYB,0.832717314
PHYB,0.829571223
PHYB,0.822851225
CRY1,1.317839652
CRY1,1.388442153
CRY1,1.45742654
CRY1,1.254512075
CRY1,1.373330608
CRY1,1.442598745
CRY1,1.3810943
CRY1,1.365998629
CRY1,1.415987356
CRY1,1.465225199
CRY1,1.372472514
CRY1,1.36570787
CRY2,1.602031063
CRY2,1.582159923
CRY2,1.597404533
CRY2,1.514332227
CRY2,1.63264974
CRY2,1.798067154
CRY2,1.392372347
CRY2,1.574119979
CRY2,1.546223431
CRY2,1.557951214
CRY2,1.515445236
CRY2,1.480330022
